time,.layout.dim,.layout.data_offset,.data
2025/04/18/02:29:19.931530,[],0,"(41628, -56, -61, -62, -59)"
2025/04/18/02:29:19.931547,[],0,"(41628, -56, -61, -62, -59)"
2025/04/18/02:29:19.931674,[],0,"(41628, -56, -61, -62, -59)"
2025/04/18/02:29:19.931718,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:20.031079,[],0,"(41602, -56, -61, -56, -58)"
2025/04/18/02:29:20.031204,[],0,"(41628, -56, -61, -62, -59)"
2025/04/18/02:29:20.031216,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:20.031375,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:20.031386,[],0,"(41628, -56, -61, -62, -58)"
2025/04/18/02:29:20.031509,[],0,"(41628, -56, -60, -61, -59)"
2025/04/18/02:29:20.031519,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:20.031527,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:20.031700,[],0,"(41628, -56, -61, -62, -59)"
2025/04/18/02:29:20.031716,[],0,"(41628, -56, -61, -62, -59)"
2025/04/18/02:29:20.031726,[],0,"(41628, -57, -61, -62, -59)"
2025/04/18/02:29:20.131053,[],0,"(41628, -57, -61, -62, -59)"
2025/04/18/02:29:20.131245,[],0,"(41341, -53, -49, -50, -49)"
2025/04/18/02:29:20.131269,[],0,"(41628, -50, -54, -55, -52)"
2025/04/18/02:29:20.131283,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:20.131400,[],0,"(41628, -57, -61, -62, -59)"
2025/04/18/02:29:20.131436,[],0,"(41628, -57, -60, -62, -59)"
2025/04/18/02:29:20.131790,[],0,"(41628, -57, -61, -61, -58)"
2025/04/18/02:29:20.131925,[],0,"(41628, -57, -61, -62, -59)"
2025/04/18/02:29:20.131943,[],0,"(41628, -57, -61, -62, -59)"
2025/04/18/02:29:20.131959,[],0,"(41628, -57, -60, -62, -59)"
2025/04/18/02:29:20.131974,[],0,"(41628, -57, -60, -62, -59)"
2025/04/18/02:29:20.231000,[],0,"(41628, -57, -61, -62, -59)"
2025/04/18/02:29:20.231234,[],0,"(41341, -53, -49, -50, -50)"
2025/04/18/02:29:20.231242,[],0,"(41628, -57, -60, -62, -58)"
2025/04/18/02:29:20.231386,[],0,"(41628, -57, -60, -62, -59)"
2025/04/18/02:29:20.231403,[],0,"(41628, -57, -61, -62, -59)"
