time,.layout.dim,.layout.data_offset,.data
2025/04/18/02:25:35.469805,[],0,"(41602, 0, 440, 41341, 0, 440, 41628, 0, 440)"
2025/04/18/02:25:35.570047,[],0,"(41602, 0, 70, 41341, 0, 70, 41628, 0, 70)"
2025/04/18/02:25:35.670986,[],0,"(41602, 0, 170, 41341, 0, 170, 41628, 0, 170)"
2025/04/18/02:25:35.775626,[],0,"(41602, 0, 270, 41341, 0, 270, 41628, 0, 270)"
2025/04/18/02:25:35.871707,[],0,"(41602, 0, 370, 41341, 0, 370, 41628, 0, 370)"
2025/04/18/02:25:35.974732,[],0,"(41602, 0, 470, 41341, 0, 470, 41628, 0, 470)"
2025/04/18/02:25:36.071964,[],0,"(41602, 0, 570, 41341, 0, 570, 41628, 0, 570)"
2025/04/18/02:25:36.171002,[],0,"(41602, 0, 670, 41341, 0, 670, 41628, 0, 670)"
2025/04/18/02:25:36.273931,[],0,"(41602, 0, 770, 41341, 0, 770, 41628, 0, 770)"
2025/04/18/02:25:36.371217,[],0,"(41602, 0, 870, 41341, 0, 870, 41628, 0, 870)"
2025/04/18/02:25:36.471232,[],0,"(41602, 0, 970, 41341, 0, 970, 41628, 0, 970)"
2025/04/18/02:25:36.570550,[],0,"(41602, 0, 30, 41341, 0, 30, 41628, 0, 30)"
2025/04/18/02:25:36.670164,[],0,"(41602, 0, 130, 41341, 0, 130, 41628, 0, 130)"
2025/04/18/02:25:36.772745,[],0,"(41602, 0, 230, 41341, 0, 230, 41628, 0, 230)"
2025/04/18/02:25:36.870790,[],0,"(41602, 0, 330, 41341, 0, 330, 41628, 0, 330)"
2025/04/18/02:25:36.970818,[],0,"(41602, 0, 430, 41341, 0, 430, 41628, 0, 430)"
2025/04/18/02:25:37.075102,[],0,"(41602, 0, 530, 41341, 0, 530, 41628, 0, 530)"
2025/04/18/02:25:37.170616,[],0,"(41602, 0, 630, 41341, 0, 630, 41628, 0, 630)"
2025/04/18/02:25:37.270241,[],0,"(41602, 0, 730, 41341, 0, 730, 41628, 0, 730)"
2025/04/18/02:25:37.370526,[],0,"(41602, 0, 830, 41341, 0, 830, 41628, 0, 830)"
2025/04/18/02:25:37.470638,[],0,"(41602, 0, 930, 41341, 0, 930, 41628, 0, 930)"
2025/04/18/02:25:37.569926,[],0,"(41602, 0, 30, 41341, 0, 30, 41628, 0, 30)"
2025/04/18/02:25:37.670144,[],0,"(41602, 0, 130, 41341, 0, 130, 41628, 0, 130)"
2025/04/18/02:25:37.770181,[],0,"(41602, 0, 230, 41341, 0, 230, 41628, 0, 230)"
2025/04/18/02:25:37.870806,[],0,"(41602, 0, 330, 41341, 0, 330, 41628, 0, 330)"
2025/04/18/02:25:37.972009,[],0,"(41602, 0, 430, 41341, 0, 430, 41628, 0, 430)"
2025/04/18/02:25:38.071327,[],0,"(41602, 0, 530, 41341, 0, 530, 41628, 0, 530)"
2025/04/18/02:25:38.174698,[],0,"(41602, 0, 630, 41341, 0, 630, 41628, 0, 630)"
2025/04/18/02:25:38.274831,[],0,"(41602, 0, 730, 41341, 0, 730, 41628, 0, 730)"
2025/04/18/02:25:38.370875,[],0,"(41602, 0, 830, 41341, 0, 830, 41628, 0, 830)"
