time,.layout.dim,.layout.data_offset,.data
2025/04/18/03:08:24.846986,[],0,"(41602, 24, 850, 41341, 0, 850, 41628, 32, 850)"
2025/04/18/03:08:24.946935,[],0,"(41602, 24, 950, 41341, 0, 950, 41628, 32, 950)"
2025/04/18/03:08:25.046376,[],0,"(41602, 23, 50, 41341, 0, 50, 41628, 32, 50)"
2025/04/18/03:08:25.146148,[],0,"(41602, 23, 150, 41341, 0, 150, 41628, 32, 150)"
2025/04/18/03:08:25.246721,[],0,"(41602, 24, 70, 41341, 0, 70, 41628, 32, 70)"
2025/04/18/03:08:25.346554,[],0,"(41602, 24, 170, 41341, 0, 170, 41628, 32, 170)"
2025/04/18/03:08:25.447249,[],0,"(41602, 24, 270, 41341, 0, 270, 41628, 32, 270)"
2025/04/18/03:08:25.548623,[],0,"(41602, 24, 370, 41341, 0, 370, 41628, 32, 370)"
2025/04/18/03:08:25.647355,[],0,"(41602, 24, 470, 41341, 0, 470, 41628, 32, 470)"
2025/04/18/03:08:25.751348,[],0,"(41602, 24, 580, 41341, 0, 580, 41628, 32, 580)"
2025/04/18/03:08:25.850961,[],0,"(41602, 24, 670, 41341, 0, 670, 41628, 32, 670)"
2025/04/18/03:08:25.949125,[],0,"(41602, 24, 770, 41341, 0, 770, 41628, 32, 770)"
2025/04/18/03:08:26.046535,[],0,"(41602, 23, 30, 41341, 0, 50, 41628, 32, 50)"
2025/04/18/03:08:26.146555,[],0,"(41602, 23, 130, 41341, 0, 150, 41628, 32, 150)"
2025/04/18/03:08:26.246376,[],0,"(41602, 23, 230, 41341, 0, 250, 41628, 32, 250)"
2025/04/18/03:08:26.348075,[],0,"(41602, 23, 330, 41341, 0, 350, 41628, 32, 350)"
2025/04/18/03:08:26.446724,[],0,"(41602, 23, 430, 41341, 0, 450, 41628, 32, 450)"
2025/04/18/03:08:26.546530,[],0,"(41602, 23, 530, 41341, 0, 550, 41628, 32, 550)"
2025/04/18/03:08:26.647048,[],0,"(41602, 23, 630, 41341, 0, 650, 41628, 32, 650)"
2025/04/18/03:08:26.750423,[],0,"(41602, 23, 730, 41341, 0, 750, 41628, 32, 750)"
2025/04/18/03:08:26.855536,[],0,"(41602, 23, 840, 41341, 0, 860, 41628, 32, 860)"
2025/04/18/03:08:26.948777,[],0,"(41602, 23, 930, 41341, 0, 950, 41628, 32, 950)"
2025/04/18/03:08:27.048025,[],0,"(41602, 23, 10, 41341, 0, 10, 41628, 33, 10)"
2025/04/18/03:08:27.151138,[],0,"(41602, 23, 110, 41341, 0, 110, 41628, 33, 110)"
2025/04/18/03:08:27.247789,[],0,"(41602, 23, 210, 41341, 0, 210, 41628, 33, 210)"
2025/04/18/03:08:27.357301,[],0,"(41602, 23, 320, 41341, 0, 320, 41628, 33, 320)"
2025/04/18/03:08:27.451258,[],0,"(41602, 23, 410, 41341, 0, 410, 41628, 33, 410)"
2025/04/18/03:08:27.549224,[],0,"(41602, 23, 510, 41341, 0, 510, 41628, 33, 510)"
2025/04/18/03:08:27.648274,[],0,"(41602, 23, 610, 41341, 0, 610, 41628, 33, 610)"
2025/04/18/03:08:27.746081,[],0,"(41602, 23, 710, 41341, 0, 710, 41628, 33, 710)"
2025/04/18/03:08:27.856332,[],0,"(41602, 23, 820, 41341, 0, 820, 41628, 33, 820)"
2025/04/18/03:08:27.945874,[],0,"(41602, 23, 910, 41341, 0, 910, 41628, 33, 910)"
2025/04/18/03:08:28.046210,[],0,"(41602, 23, 10, 41341, 0, 10, 41628, 33, 10)"
2025/04/18/03:08:28.145720,[],0,"(41602, 23, 110, 41341, 0, 110, 41628, 33, 110)"
2025/04/18/03:08:28.246106,[],0,"(41602, 23, 210, 41341, 0, 210, 41628, 33, 210)"
2025/04/18/03:08:28.346497,[],0,"(41602, 23, 310, 41341, 0, 310, 41628, 33, 310)"
2025/04/18/03:08:28.446483,[],0,"(41602, 23, 410, 41341, 0, 410, 41628, 33, 410)"
2025/04/18/03:08:28.546557,[],0,"(41602, 23, 510, 41341, 0, 510, 41628, 33, 510)"
2025/04/18/03:08:28.646503,[],0,"(41602, 23, 610, 41341, 0, 610, 41628, 33, 610)"
2025/04/18/03:08:28.746392,[],0,"(41602, 23, 710, 41341, 0, 710, 41628, 33, 710)"
2025/04/18/03:08:28.847828,[],0,"(41602, 23, 810, 41341, 0, 810, 41628, 33, 810)"
2025/04/18/03:08:28.947212,[],0,"(41602, 23, 910, 41341, 0, 910, 41628, 33, 910)"
2025/04/18/03:08:29.047009,[],0,"(41602, 23, 10, 41341, 0, 10, 41628, 33, 10)"
2025/04/18/03:08:29.149667,[],0,"(41602, 23, 110, 41341, 0, 110, 41628, 33, 110)"
2025/04/18/03:08:29.250754,[],0,"(41602, 24, 50, 41341, 0, 50, 41628, 33, 50)"
2025/04/18/03:08:29.347969,[],0,"(41602, 24, 150, 41341, 0, 150, 41628, 33, 150)"
2025/04/18/03:08:29.450836,[],0,"(41602, 24, 250, 41341, 0, 250, 41628, 33, 250)"
2025/04/18/03:08:29.549753,[],0,"(41602, 24, 350, 41341, 0, 350, 41628, 33, 350)"
2025/04/18/03:08:29.646851,[],0,"(41602, 24, 450, 41341, 0, 450, 41628, 33, 450)"
2025/04/18/03:08:29.746724,[],0,"(41602, 24, 550, 41341, 0, 550, 41628, 33, 550)"
2025/04/18/03:08:29.847128,[],0,"(41602, 24, 650, 41341, 0, 650, 41628, 33, 650)"
2025/04/18/03:08:29.946367,[],0,"(41602, 24, 750, 41341, 0, 750, 41628, 33, 750)"
2025/04/18/03:08:30.048830,[],0,"(41602, 24, 850, 41341, 0, 850, 41628, 33, 850)"
2025/04/18/03:08:30.146239,[],0,"(41602, 24, 950, 41341, 0, 70, 41628, 33, 950)"
2025/04/18/03:08:30.246442,[],0,"(41602, 24, 1050, 41341, 0, 170, 41628, 33, 1050)"
2025/04/18/03:08:30.348221,[],0,"(41602, 24, 1150, 41341, 0, 90, 41628, 33, 1150)"
2025/04/18/03:08:30.456427,[],0,"(41602, 24, 1260, 41341, 0, 200, 41628, 33, 1260)"
2025/04/18/03:08:30.548480,[],0,"(41602, 24, 1350, 41341, 0, 290, 41628, 33, 1350)"
2025/04/18/03:08:30.649147,[],0,"(41602, 24, 1450, 41341, 0, 390, 41628, 33, 1450)"
2025/04/18/03:08:30.750886,[],0,"(41602, 24, 1550, 41341, 0, 490, 41628, 33, 1550)"
2025/04/18/03:08:30.846898,[],0,"(41602, 24, 1650, 41341, 0, 590, 41628, 33, 1650)"
2025/04/18/03:08:30.948788,[],0,"(41602, 24, 1750, 41341, 0, 690, 41628, 33, 1750)"
2025/04/18/03:08:31.048449,[],0,"(41602, 24, 1850, 41341, 0, 790, 41628, 33, 1850)"
2025/04/18/03:08:31.147724,[],0,"(41602, 24, 1950, 41341, 0, 0, 41628, 33, 0)"
2025/04/18/03:08:31.247011,[],0,"(41602, 24, 2050, 41341, 0, 100, 41628, 33, 100)"
2025/04/18/03:08:31.346800,[],0,"(41602, 24, 2150, 41341, 0, 200, 41628, 33, 200)"
2025/04/18/03:08:31.446586,[],0,"(41602, 24, 2250, 41341, 0, 300, 41628, 33, 300)"
2025/04/18/03:08:31.546387,[],0,"(41602, 24, 2350, 41341, 0, 400, 41628, 33, 400)"
2025/04/18/03:08:31.645798,[],0,"(41602, 24, 2450, 41341, 0, 500, 41628, 33, 500)"
2025/04/18/03:08:31.746000,[],0,"(41602, 24, 2550, 41341, 0, 600, 41628, 33, 600)"
2025/04/18/03:08:31.846437,[],0,"(41602, 24, 2650, 41341, 0, 700, 41628, 33, 700)"
2025/04/18/03:08:31.946745,[],0,"(41602, 24, 2750, 41341, 0, 800, 41628, 33, 800)"
2025/04/18/03:08:32.045790,[],0,"(41602, 24, 2850, 41341, 0, 900, 41628, 33, 900)"
2025/04/18/03:08:32.146704,[],0,"(41602, 24, 2950, 41341, 0, 80, 41628, 33, 80)"
2025/04/18/03:08:32.245965,[],0,"(41602, 24, 3050, 41341, 0, 180, 41628, 33, 180)"
2025/04/18/03:08:32.347563,[],0,"(41602, 24, 3150, 41341, 0, 280, 41628, 33, 280)"
2025/04/18/03:08:32.447196,[],0,"(41602, 24, 3250, 41341, 0, 380, 41628, 33, 380)"
2025/04/18/03:08:32.547011,[],0,"(41602, 24, 3350, 41341, 0, 480, 41628, 33, 480)"
2025/04/18/03:08:32.646895,[],0,"(41602, 24, 3450, 41341, 0, 580, 41628, 33, 580)"
2025/04/18/03:08:32.754980,[],0,"(41602, 24, 3560, 41341, 0, 690, 41628, 33, 690)"
2025/04/18/03:08:32.847250,[],0,"(41602, 24, 3650, 41341, 0, 780, 41628, 33, 780)"
2025/04/18/03:08:32.951619,[],0,"(41602, 24, 3760, 41341, 0, 890, 41628, 33, 890)"
2025/04/18/03:08:33.048616,[],0,"(41602, 24, 3850, 41341, 0, 980, 41628, 33, 980)"
2025/04/18/03:08:33.148307,[],0,"(41602, 24, 3950, 41341, 0, 30, 41628, 33, 30)"
2025/04/18/03:08:33.247936,[],0,"(41602, 24, 4050, 41341, 0, 130, 41628, 33, 130)"
2025/04/18/03:08:33.346805,[],0,"(41602, 24, 4150, 41341, 0, 230, 41628, 33, 230)"
2025/04/18/03:08:33.450200,[],0,"(41602, 24, 4260, 41341, 0, 340, 41628, 33, 340)"
2025/04/18/03:08:33.554419,[],0,"(41602, 24, 4360, 41341, 0, 440, 41628, 33, 440)"
2025/04/18/03:08:33.647173,[],0,"(41602, 24, 4450, 41341, 0, 530, 41628, 33, 530)"
2025/04/18/03:08:33.747701,[],0,"(41602, 24, 4550, 41341, 0, 630, 41628, 33, 630)"
2025/04/18/03:08:33.846789,[],0,"(41602, 24, 4650, 41341, 0, 730, 41628, 33, 730)"
2025/04/18/03:08:33.955083,[],0,"(41602, 24, 4760, 41341, 0, 840, 41628, 33, 840)"
2025/04/18/03:08:34.050927,[],0,"(41602, 24, 4850, 41341, 0, 930, 41628, 33, 930)"
2025/04/18/03:08:34.147374,[],0,"(41602, 24, 4950, 41341, 0, 30, 41628, 33, 30)"
2025/04/18/03:08:34.250616,[],0,"(41602, 24, 5050, 41341, 0, 130, 41628, 33, 130)"
2025/04/18/03:08:34.346384,[],0,"(41602, 24, 5150, 41341, 0, 230, 41628, 33, 230)"
2025/04/18/03:08:34.450220,[],0,"(41602, 24, 5250, 41341, 0, 330, 41628, 33, 330)"
2025/04/18/03:08:34.549231,[],0,"(41602, 24, 5350, 41341, 0, 430, 41628, 33, 430)"
2025/04/18/03:08:34.650673,[],0,"(41602, 24, 5450, 41341, 0, 530, 41628, 33, 530)"
2025/04/18/03:08:34.747215,[],0,"(41602, 24, 5550, 41341, 0, 630, 41628, 33, 630)"
2025/04/18/03:08:34.846133,[],0,"(41602, 24, 5650, 41341, 0, 730, 41628, 33, 730)"
2025/04/18/03:08:34.946787,[],0,"(41602, 24, 5750, 41341, 0, 830, 41628, 33, 830)"
2025/04/18/03:08:35.047473,[],0,"(41602, 24, 5850, 41341, 0, 930, 41628, 33, 930)"
2025/04/18/03:08:35.146524,[],0,"(41602, 24, 5950, 41341, 0, 30, 41628, 34, 30)"
2025/04/18/03:08:35.247456,[],0,"(41602, 24, 6050, 41341, 0, 40, 41628, 34, 130)"
2025/04/18/03:08:35.347391,[],0,"(41602, 24, 6150, 41341, 0, 10, 41628, 33, 10)"
2025/04/18/03:08:35.446566,[],0,"(41602, 24, 6250, 41341, 0, 110, 41628, 33, 110)"
2025/04/18/03:08:35.546848,[],0,"(41602, 24, 6350, 41341, 0, 210, 41628, 33, 210)"
2025/04/18/03:08:35.646403,[],0,"(41602, 24, 6450, 41341, 0, 310, 41628, 33, 310)"
2025/04/18/03:08:35.748110,[],0,"(41602, 24, 6550, 41341, 0, 410, 41628, 33, 410)"
2025/04/18/03:08:35.848619,[],0,"(41602, 24, 6650, 41341, 0, 510, 41628, 33, 510)"
2025/04/18/03:08:35.949174,[],0,"(41602, 24, 6750, 41341, 0, 610, 41628, 33, 610)"
2025/04/18/03:08:36.047554,[],0,"(41602, 24, 6850, 41341, 0, 710, 41628, 33, 710)"
2025/04/18/03:08:36.151185,[],0,"(41602, 24, 6950, 41341, 0, 810, 41628, 33, 810)"
2025/04/18/03:08:36.250183,[],0,"(41602, 24, 7050, 41341, 0, 90, 41628, 34, 90)"
2025/04/18/03:08:36.346614,[],0,"(41602, 24, 7150, 41341, 0, 190, 41628, 34, 190)"
2025/04/18/03:08:36.447507,[],0,"(41602, 24, 7250, 41341, 0, 290, 41628, 34, 290)"
2025/04/18/03:08:36.548694,[],0,"(41602, 24, 7350, 41341, 0, 390, 41628, 34, 390)"
2025/04/18/03:08:36.653995,[],0,"(41602, 24, 7460, 41341, 0, 500, 41628, 34, 500)"
2025/04/18/03:08:36.748035,[],0,"(41602, 24, 7550, 41341, 0, 590, 41628, 34, 590)"
2025/04/18/03:08:36.847353,[],0,"(41602, 24, 7650, 41341, 0, 690, 41628, 34, 690)"
2025/04/18/03:08:36.946896,[],0,"(41602, 24, 7750, 41341, 0, 790, 41628, 34, 790)"
2025/04/18/03:08:37.046361,[],0,"(41602, 24, 7850, 41341, 0, 890, 41628, 34, 890)"
2025/04/18/03:08:37.146606,[],0,"(41602, 24, 7950, 41341, 0, 990, 41628, 34, 990)"
2025/04/18/03:08:37.247107,[],0,"(41602, 24, 8050, 41341, 0, 90, 41628, 34, 90)"
2025/04/18/03:08:37.352073,[],0,"(41602, 24, 8160, 41341, 0, 200, 41628, 34, 200)"
2025/04/18/03:08:37.447369,[],0,"(41602, 24, 8250, 41341, 0, 290, 41628, 34, 290)"
2025/04/18/03:08:37.551658,[],0,"(41602, 24, 8360, 41341, 0, 400, 41628, 34, 400)"
2025/04/18/03:08:37.647187,[],0,"(41602, 24, 8450, 41341, 0, 490, 41628, 34, 490)"
