time,.layout.dim,.layout.data_offset,.data
2025/04/18/03:17:33.543919,[],0,"(41602, -55, -53, -53, -57)"
2025/04/18/03:17:33.544061,[],0,"(41628, -66, -63, -64, -64)"
2025/04/18/03:17:33.544075,[],0,"(41628, -70, -67, -66, -67)"
2025/04/18/03:17:33.544158,[],0,"(41628, -69, -67, -66, -66)"
2025/04/18/03:17:33.544168,[],0,"(41628, -69, -67, -66, -66)"
2025/04/18/03:17:33.544299,[],0,"(41628, -69, -67, -67, -66)"
2025/04/18/03:17:33.544404,[],0,"(41628, -70, -66, -67, -66)"
2025/04/18/03:17:33.544411,[],0,"(41628, -71, -67, -66, -67)"
2025/04/18/03:17:33.642957,[],0,"(41628, -69, -67, -65, -67)"
2025/04/18/03:17:33.643121,[],0,"(41628, -68, -68, -66, -66)"
2025/04/18/03:17:33.643213,[],0,"(41628, -70, -68, -69, -66)"
2025/04/18/03:17:33.643339,[],0,"(41341, -68, -69, -74, -69)"
2025/04/18/03:17:33.643346,[],0,"(41628, -70, -66, -67, -66)"
2025/04/18/03:17:33.643351,[],0,"(41602, -54, -53, -52, -57)"
2025/04/18/03:17:33.643489,[],0,"(41628, -67, -63, -64, -64)"
2025/04/18/03:17:33.643492,[],0,"(41628, -71, -66, -66, -67)"
2025/04/18/03:17:33.643494,[],0,"(41628, -70, -68, -66, -66)"
2025/04/18/03:17:33.643681,[],0,"(41341, -69, -69, -73, -70)"
2025/04/18/03:17:33.643800,[],0,"(41628, -69, -68, -66, -67)"
2025/04/18/03:17:33.643812,[],0,"(41628, -69, -67, -68, -67)"
2025/04/18/03:17:33.643991,[],0,"(41628, -71, -66, -67, -67)"
2025/04/18/03:17:33.644100,[],0,"(41628, -70, -67, -66, -67)"
2025/04/18/03:17:33.743293,[],0,"(41628, -69, -68, -66, -67)"
2025/04/18/03:17:33.743398,[],0,"(41628, -69, -68, -67, -66)"
2025/04/18/03:17:33.743408,[],0,"(41628, -70, -67, -67, -66)"
2025/04/18/03:17:33.743550,[],0,"(41341, -69, -70, -74, -70)"
2025/04/18/03:17:33.743713,[],0,"(41628, -71, -67, -66, -66)"
2025/04/18/03:17:33.743721,[],0,"(41602, -53, -54, -53, -57)"
2025/04/18/03:17:33.743727,[],0,"(41628, -67, -63, -63, -64)"
2025/04/18/03:17:33.743842,[],0,"(41628, -70, -67, -66, -67)"
2025/04/18/03:17:33.743974,[],0,"(41628, -69, -68, -66, -66)"
2025/04/18/03:17:33.744091,[],0,"(41628, -69, -67, -67, -66)"
2025/04/18/03:17:33.744102,[],0,"(41628, -70, -65, -66, -66)"
2025/04/18/03:17:33.744239,[],0,"(41628, -70, -67, -66, -67)"
2025/04/18/03:17:33.744364,[],0,"(41628, -69, -68, -66, -67)"
2025/04/18/03:17:33.843297,[],0,"(41628, -69, -67, -67, -66)"
2025/04/18/03:17:33.843442,[],0,"(41628, -70, -66, -67, -66)"
2025/04/18/03:17:33.843450,[],0,"(41628, -70, -67, -66, -67)"
2025/04/18/03:17:33.843614,[],0,"(41341, -70, -70, -74, -72)"
2025/04/18/03:17:33.843626,[],0,"(41628, -72, -69, -69, -70)"
2025/04/18/03:17:33.843643,[],0,"(41628, -65, -64, -64, -63)"
2025/04/18/03:17:33.843765,[],0,"(41628, -69, -67, -66, -66)"
2025/04/18/03:17:33.843779,[],0,"(41628, -71, -66, -67, -66)"
2025/04/18/03:17:33.843789,[],0,"(41628, -71, -67, -67, -67)"
2025/04/18/03:17:33.843894,[],0,"(41628, -69, -68, -66, -67)"
2025/04/18/03:17:33.843904,[],0,"(41628, -70, -67, -67, -66)"
2025/04/18/03:17:33.844036,[],0,"(41628, -71, -67, -68, -66)"
2025/04/18/03:17:33.943433,[],0,"(41628, -69, -68, -66, -67)"
2025/04/18/03:17:33.943897,[],0,"(41628, -68, -67, -67, -66)"
2025/04/18/03:17:33.944273,[],0,"(41628, -68, -65, -66, -65)"
2025/04/18/03:17:33.944682,[],0,"(41628, -70, -66, -67, -66)"
2025/04/18/03:17:33.944963,[],0,"(41341, -70, -70, -73, -70)"
2025/04/18/03:17:33.945190,[],0,"(41602, -53, -55, -55, -56)"
2025/04/18/03:17:33.945469,[],0,"(41628, -65, -63, -64, -65)"
2025/04/18/03:17:33.945753,[],0,"(41628, -68, -68, -65, -67)"
2025/04/18/03:17:33.945974,[],0,"(41628, -70, -67, -67, -66)"
2025/04/18/03:17:33.946304,[],0,"(41628, -70, -67, -67, -66)"
2025/04/18/03:17:33.946444,[],0,"(41628, -68, -67, -66, -66)"
2025/04/18/03:17:33.946459,[],0,"(41628, -70, -67, -67, -66)"
2025/04/18/03:17:33.946465,[],0,"(41628, -70, -67, -67, -66)"
2025/04/18/03:17:34.043033,[],0,"(41628, -69, -68, -66, -67)"
2025/04/18/03:17:34.043150,[],0,"(41628, -69, -67, -66, -66)"
2025/04/18/03:17:34.043285,[],0,"(41628, -70, -66, -67, -66)"
